STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N
1790,"PULICATE LAKE , NELLORE 
DIST.",LAKE,"ANDHRA 
PRADESH",27.0,28.0,5.1,6.9,7.1,8.5,3270.0,156600.0,1.0,2.3,0.65,6.9
2353,"KONDACHARLA-AAVA LAKE, 
PARAWADA PHARMA CITY, 
VISHAKHAPATNAM, A.P",LAKE,"ANDHRA 
PRADESH",24.0,28.0,5.9,6.8,6.9,8.4,597.0,1034.0,1.3,2.3,1.16,3.36
2205,"MER BEEL AT MADHABPUR, 
ASSAM",LAKE,ASSAM,20.0,27.0,2.2,7.2,5.7,7.0,50.0,128.0,1.0,16.2,0.1,1.7
2206,"DALONI BEEL NEAR 
JOGIGHOPA, ASSAM",LAKE,ASSAM,22.0,36.0,5.1,6.0,6.6,7.8,54.0,153.0,0.9,2.8,0.1,1.4
1263,"ELANGABEEL SYSTEM POND 
(CONNECTED TO R. KOLANG), 
ASSAM",POND,ASSAM,22.0,34.0,0.7,4.6,6.8,8.4,263.0,972.0,4.5,14.7,0.8,5.7
2207,"BOR BEEL AT JAKAI., ASSAM",POND,ASSAM,20.0,35.0,3.5,6.8,6.1,7.3,26.0,235.0,2.2,18.1,0.5,1.9
2208,"BORPUKHURI, NAZIRA, ASSAM",POND,ASSAM,18.0,31.0,5.0,7.3,5.8,7.6,25.0,38.0,2.0,3.2,0.1,2.5
2209,"GAURISAGAR TANK, 
GAURISAGAR, ASSAM",POND,ASSAM,20.0,32.0,5.2,8.1,5.6,7.8,23.0,38.0,1.9,4.1,0.1,1.7
2210,"RAJMAW PUKHURI, JORHAT, 
ASSAM",POND,ASSAM,21.0,32.0,5.1,6.5,6.7,7.4,45.0,81.0,1.1,4.8,0.1,1.9
2211,"PADUMPUKHURI, TEZPUR, 
ASSAM",POND,ASSAM,22.0,30.0,7.2,8.3,7.1,9.1,195.0,264.0,3.8,12.7,0.9,3.4
2212,"GOPHUR TANK, GOPHUR, 
ASSAM",POND,ASSAM,20.0,30.0,7.4,9.2,6.8,7.8,64.0,92.0,2.8,6.2,0.2,1.2
2213,"JAIPAL PUKHURI, SIPAJHAR, 
ASSAM",POND,ASSAM,20.0,31.0,7.0,8.3,7.2,8.8,26.0,246.0,4.5,18.8,0.7,2.1
2214,"BOTODRIVA SATRA POND, 
NAGAON, ASSAM",POND,ASSAM,23.0,38.0,2.6,8.0,6.1,7.2,26.0,44.0,3.3,18.9,0.2,1.3
2215,"SARAN BEEL, ASSAM",POND,ASSAM,23.0,34.0,1.2,5.9,5.9,7.8,8.0,79.0,1.2,4.8,0.5,1.7
2216,"DIGHALI PUKHURI, 
GUWAHATI, ASSAM",POND,ASSAM,23.0,32.0,6.4,10.5,7.7,9.2,153.0,220.0,3.0,15.5,0.8,2.9
2217,"SUBHAGYA KUNDA POND 
KAMAKHYA TEMPLE, 
GUWAHATI, ASSAM",POND,ASSAM,19.0,31.0,3.7,9.9,6.7,7.9,282.0,417.0,2.8,6.2,1.6,3.0
2218,"DEEPAR BEEL AT BORAGAON 
NEAR IASST, GUWAHATI, 
ASSAM",POND,ASSAM,21.0,31.0,4.5,12.4,6.2,9.6,122.0,313.0,2.4,7.2,0.7,18.72
2219,"BISHNU PUSKAR PUKHURI OF 
HAYAGRIB MADHAB TEMPLE, 
HAJO, ASSAM",POND,ASSAM,22.0,34.0,1.9,15.1,6.6,8.5,190.0,237.0,4.2,14.2,0.7,1.8
2220,"CHAND DUBI BEEL, CHAND 
DUBI, ASSAM",POND,ASSAM,22.0,34.0,5.2,8.5,5.5,7.3,26.0,48.0,1.6,2.9,0.7,4.5
2221,"GANGA PUKHURI, NALBARI 
(GORDON SCHOOL), ASSAM",POND,ASSAM,23.0,35.0,3.9,10.8,6.7,7.8,50.0,176.0,2.2,4.8,0.3,1.4
2222,"RAJADINIA PUKHURI AT 
ABHAYAPURI, ASSAM",POND,ASSAM,23.0,36.0,4.5,5.7,6.1,7.9,24.0,28.0,1.0,7.6,0.1,1.4
2223,"MAHAMAYA MANDIR 
PUKHURI, ASSAM",POND,ASSAM,22.0,35.0,4.7,5.9,6.4,7.6,27.0,58.0,1.4,6.1,1.0,4.1
2224,"RAJAPUKHURI AT GAURIPUR, 
ASSAM",POND,ASSAM,23.0,36.0,4.6,5.7,6.7,7.4,31.0,94.0,1.1,7.9,0.8,5.1
2225,"BASKANDI POND INSIDE THE 
BASKANDI MADRASA, 
BASKANDI, ASSAM",POND,ASSAM,22.0,27.0,4.7,5.8,6.7,7.6,63.0,136.0,2.8,8.1,0.2,1.4
2226,"SIVASAGAR TANK 
(BORPUKHURI) NEAR 
SIVADOL, ASSAM",POND,ASSAM,17.0,32.0,5.3,6.7,6.1,8.1,24.0,42.0,1.7,4.2,0.1,1.1
2227,"HORDAI PUKHURI, 
CHARAIDEW, ASSAM",POND,ASSAM,17.0,32.0,4.7,7.3,6.6,7.6,17.0,206.0,1.5,4.8,0.3,2.1
2228,"GALA BEEL AT DERGAON, 
ASSAM",POND,ASSAM,20.0,29.0,5.3,9.0,6.2,7.3,32.0,395.0,1.6,3.0,0.1,2.3
3772,BORPUKHURI AT SONARI,POND,ASSAM,21.0,31.0,4.5,7.0,6.4,7.5,26.0,77.0,2.2,3.0,1.1,1.8
3809,"JORPUKHURI AT UZANBAZAR 
(UGRATALA TEMPLE)",POND,ASSAM,24.0,31.5,4.0,7.3,6.8,7.6,280.0,321.0,3.4,6.6,0.8,3.1
3806,"POND WATER FROM 
RAMKRISHNA MISSION AT 
HAILAKANDI",POND,ASSAM,20.0,27.0,4.0,4.8,7.1,7.2,136.0,165.0,3.0,4.1,0.3,1.6
1532,"*GOYSAGAR TANK, SIBSAGAR, 
ASSAM",TANK,ASSAM,18.0,31.0,5.2,7.2,5.9,7.8,21.0,36.0,1.4,3.0,0.1,1.8
2557,"KAWAR LAKE, BEGUSARAI, 
BIHAR",LAKE,BIHAR,19.0,32.0,5.4,8.0,7.2,7.9,222.0,325.0,2.1,2.8,0.0,0.0
